animate?, num_of_agents, neighbourhood, num_of_iterations, name, time, system, machine, details

a,100,10,100,5.457828899999999,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,100,10,100,3.5484735,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,100,10,100,3.749811,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,150,10,100,52.5685661,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,150,10,100,8.655907200000001,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,50,10,1000,9.0061119,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,10,10,100,0.04436639999999992,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,10,10,1000,0.3904103000000001,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,10,10,10000,4.6098008,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,10,10,100000,45.158987599999996,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,50,10,10,12.543262899999998,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,50,10,10,8.180694299999999,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,50,10,10,9.134835800000001,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,50,10,10,0.20506360000000035,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,50,10,10,6.7582612,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,50,10,10,6.7997225,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,50,10,10,4.6956982,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,10,10,10000,4.2342275,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,10,10,10,4.1872469,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,10,10,10,4.2699449000000005,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,10,10,10000,13.677263606048655,localhost,Linux3.18.14-14928722-QB24002078,armv8l,n

DON'T ANIMATE,100,10,100,10.277933146979194,localhost,Linux3.18.14-14928722-QB24002078,armv8l,n
